Key,ID,Type,Layer,X,Y
1,1,arc,2,0,0,274.0,380.0,463.0,377.0,368.5,378.5,cyan,<Surface(1600x829x32 SW)>,"(274.0, 380.0, 463.0, 377.0)","(264.0, 370.0, 20, 20)","(453.0, 367.0, 20, 20)","(358.5, 368.5, 20, 20)",True,True,0,0,0
2,2,arc,3,0,0,287.0,485.0,460.0,484.0,373.5,484.5,cyan,<Surface(1600x829x32 SW)>,"(287.0, 485.0, 460.0, 484.0)","(277.0, 475.0, 20, 20)","(450.0, 474.0, 20, 20)","(363.5, 474.5, 20, 20)",True,True,0,0,0
3,3,arc,4,0,0,282.0,613.0,479.0,612.0,380.5,612.5,cyan,<Surface(1600x829x32 SW)>,"(282.0, 613.0, 479.0, 612.0)","(272.0, 603.0, 20, 20)","(469.0, 602.0, 20, 20)","(370.5, 602.5, 20, 20)",True,True,0,0,0
4,4,arc,5,0,0,699.0,111.0,1070.0,109.0,884.5,110.0,cyan,<Surface(1600x829x32 SW)>,"(699.0, 111.0, 1070.0, 109.0)","(689.0, 101.0, 20, 20)","(1060.0, 99.0, 20, 20)","(874.5, 100.0, 20, 20)",True,True,0,0,0
5,5,arc,6,0,0,1069.0,115.0,1454.0,580.0,1349.5,203.0,cyan,<Surface(1600x829x32 SW)>,"(1069.0, 115.0, 1454.0, 580.0)","(1059.0, 105.0, 20, 20)","(1444.0, 570.0, 20, 20)","(1339.5, 193.0, 20, 20)",True,False,5.9783461135436,1.6879532897108425,0.8456382285711352
6,6,arc,7,0,0,1050.0,208.0,1324.0,583.0,1278.9999,348.0,cyan,<Surface(1600x829x32 SW)>,"(1050.0, 208.0, 1324.0, 583.0)","(1040.0, 198.0, 20, 20)","(1314.0, 573.0, 20, 20)","(1268.9999, 338.0, 20, 20)",True,False,6.081327141752643,1.46388319523043,0.580257007448296
7,7,arc,8,0,0,1311.0,610.0,1469.0,609.0,1390.0,609.5,cyan,<Surface(1600x829x32 SW)>,"(1311.0, 610.0, 1469.0, 609.0)","(1301.0, 600.0, 20, 20)","(1459.0, 599.0, 20, 20)","(1380.0, 599.5, 20, 20)",True,True,0,0,0
8,8,rectangle,9,1391.0,661.0,157.0,61.0,green,<Surface(1600x829x32 SW)>,"(1312.5, 630.5, 157.0, 61.0)","(1469.5, 610.5, 20, 20)"
9,9,arc,10,0,0,464.0,798.0,694.0,798.0,579.0,798.0,cyan,<Surface(1600x829x32 SW)>,"(464.0, 798.0, 694.0, 798.0)","(454.0, 788.0, 20, 20)","(684.0, 788.0, 20, 20)","(569.0, 788.0, 20, 20)",True,True,0,0,0
10,10,arc,11,0,0,695.0,708.0,695.0,799.0,695.0,753.5,cyan,<Surface(1600x829x32 SW)>,"(695.0, 708.0, 695.0, 799.0)","(685.0, 698.0, 20, 20)","(685.0, 789.0, 20, 20)","(685.0, 743.5, 20, 20)",True,True,0,0,0
11,11,arc,12,0,0,1188.0,708.0,695.0,711.0,941.5,709.5,cyan,<Surface(1600x829x32 SW)>,"(1188.0, 708.0, 695.0, 711.0)","(1178.0, 698.0, 20, 20)","(685.0, 701.0, 20, 20)","(931.5, 699.5, 20, 20)",True,True,0,0,0
12,12,arc,13,0,0,1189.0,415.0,1187.0,709.0,1188.0,562.0,cyan,<Surface(1600x829x32 SW)>,"(1189.0, 415.0, 1187.0, 709.0)","(1179.0, 405.0, 20, 20)","(1177.0, 699.0, 20, 20)","(1178.0, 552.0, 20, 20)",True,True,0,0,0
13,13,arc,14,0,0,1188.0,416.0,833.0,412.0,1010.5,414.0,cyan,<Surface(1600x829x32 SW)>,"(1188.0, 416.0, 833.0, 412.0)","(1178.0, 406.0, 20, 20)","(823.0, 402.0, 20, 20)","(1000.5, 404.0, 20, 20)",True,True,0,0,0
14,14,arc,15,0,0,588.0,678.0,480.0,678.0,534.0,678.0,cyan,<Surface(1600x829x32 SW)>,"(588.0, 678.0, 480.0, 678.0)","(578.0, 668.0, 20, 20)","(470.0, 668.0, 20, 20)","(524.0, 668.0, 20, 20)",True,True,0,0,0
15,15,arc,16,0,0,587.0,594.0,589.0,681.0,588.0,637.5,cyan,<Surface(1600x829x32 SW)>,"(587.0, 594.0, 589.0, 681.0)","(577.0, 584.0, 20, 20)","(579.0, 671.0, 20, 20)","(578.0, 627.5, 20, 20)",True,True,0,0,0
16,16,arc,17,0,0,1062.0,598.0,587.0,597.0,824.5,597.5,cyan,<Surface(1600x829x32 SW)>,"(1062.0, 598.0, 587.0, 597.0)","(1052.0, 588.0, 20, 20)","(577.0, 587.0, 20, 20)","(814.5, 587.5, 20, 20)",True,True,0,0,0
17,17,arc,18,0,0,1060.0,597.0,1064.0,511.0,1062.0,554.0,cyan,<Surface(1600x829x32 SW)>,"(1060.0, 597.0, 1064.0, 511.0)","(1050.0, 587.0, 20, 20)","(1054.0, 501.0, 20, 20)","(1052.0, 544.0, 20, 20)",True,True,0,0,0
18,18,arc,19,0,0,689.0,512.0,1064.0,513.0,876.5,512.5,cyan,<Surface(1600x829x32 SW)>,"(689.0, 512.0, 1064.0, 513.0)","(679.0, 502.0, 20, 20)","(1054.0, 503.0, 20, 20)","(866.5, 502.5, 20, 20)",True,True,0,0,0
19,19,arc,20,0,0,840.0,207.0,836.0,411.0,838.0,309.0,cyan,<Surface(1600x829x32 SW)>,"(840.0, 207.0, 836.0, 411.0)","(830.0, 197.0, 20, 20)","(826.0, 401.0, 20, 20)","(828.0, 299.0, 20, 20)",True,True,0,0,0
20,20,arc,21,0,0,695.0,112.0,692.0,508.0,693.5,310.0,cyan,<Surface(1600x829x32 SW)>,"(695.0, 112.0, 692.0, 508.0)","(685.0, 102.0, 20, 20)","(682.0, 498.0, 20, 20)","(683.5, 300.0, 20, 20)",True,True,0,0,0
21,21,arc,22,0,0,841.0,208.0,1051.0,208.0,946.0,208.0,cyan,<Surface(1600x829x32 SW)>,"(841.0, 208.0, 1051.0, 208.0)","(831.0, 198.0, 20, 20)","(1041.0, 198.0, 20, 20)","(936.0, 198.0, 20, 20)",True,True,0,0,0
22,22,ellipse,23,383.0,162.0,100.0,100.0,purple,<Surface(1600x829x32 SW)>,"(333.0, 112.0, 100.0, 100.0)","(433.0, 92.0, 20, 20)"
23,23,arc,24,0,0,280.0,611.0,464.0,797.0,287.0,752.0,cyan,<Surface(1600x829x32 SW)>,"(280.0, 611.0, 464.0, 797.0)","(270.0, 601.0, 20, 20)","(454.0, 787.0, 20, 20)","(277.0, 742.0, 20, 20)",True,False,2.6493563986120074,5.193814612728055,3.733038236814121
